"","MonitoringLocationIdentifier","LatitudeMeasure","LongitudeMeasure","ActivityStartDate","OrganizationIdentifier","11Cl-PF3OUdS","3:3 FTCA","4:2 FTS","6:2 FTS","8:2 FTS","9Cl-PF3ONS","ADONA","HFPO-DA","MeFOSAA","NFDHA","PFDA","PFDoA","PFEESA","PFHpA","PFHpS","PFHxS","PFMBA","PFMPA","PFNA","PFNS","PFOA","PFOSA","PFPeA","PFTrDA","PFUnA","5:3 FTCA","7:3 FTCA","N-EtFOSA","N-MeFOSA","PFHxA","N-EtFOSE","PFBA","PFBS","PFOS"
"19","21FLCEN_WQX-G4CE0259","27.874352517","-81.34838763","2025-06-18","21FLCEN_WQX",1.9,7.6,1.9,7.6,1.9,1.9,0.38,3.8,0.76,7.6,3.8,3.55,0.76,3.8,0.76,1.1,0.76,0.76,1.9,0.38,5.9,0.38,7.2,1.9,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","21FLCEN_WQX-G4CE0260","27.895473987","-81.370102","2024-12-18","21FLCEN_WQX",1.8,7.3,1.8,15,1.8,1.8,0.36,3.6,0.73,7.3,3.6,3,0.73,3.1,0.73,0.88,0.73,0.73,1.8,0.36,4.3,0.36,6.1,1.8,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","21FLCEN_WQX-G4CE0260","27.895473987","-81.370102","2025-02-18","21FLCEN_WQX",2,8,2,8,2,2,0.4,4,0.8,8,4,3.2,0.8,3.5,0.8,0.98,0.8,0.8,2,0.4,4.9,0.4,7.1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","21FLCEN_WQX-G4CE0260","27.895473987","-81.370102","2025-04-17","21FLCEN_WQX",2,8,2,8,2,2,0.4,4,0.8,8,4,3.2,0.8,3.5,0.8,0.83,0.8,0.8,2,0.4,5.2,0.4,7.4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","21FLCEN_WQX-G4CE0260","27.895473987","-81.370102","2025-06-18","21FLCEN_WQX",2,7.9,2,7.9,2,2,0.4,4,0.79,7.9,4,2.95,0.79,2.6,0.79,1,0.79,0.79,2,0.4,4.9,0.4,5.5,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","21FLCEN_WQX-G4CE0261","27.901977987","-81.372798","2024-12-18","21FLCEN_WQX",1.9,7.5,1.9,15,1.9,1.9,0.38,3.8,0.75,7.5,3.8,2.9,0.75,2.5,0.75,0.87,0.75,0.75,1.9,0.38,3.8,0.38,6,1.9,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","21FLCEN_WQX-G4CE0261","27.901977987","-81.372798","2025-02-18","21FLCEN_WQX",2,8,2,8,2,2,0.4,4,0.8,8,4,3.65,0.8,3.8,0.8,1.1,0.8,0.8,2,0.4,5.5,0.4,7.8,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","21FLCEN_WQX-G4CE0261","27.901977987","-81.372798","2025-04-17","21FLCEN_WQX",2.1,8.3,2.1,8.3,2.1,2.1,0.42,4.2,0.83,8.3,4.2,3.95,0.83,4.1,0.83,1.2,0.83,0.83,2.1,0.42,6.2,0.42,8.3,2.1,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","21FLCEN_WQX-G4CE0261","27.901977987","-81.372798","2025-06-18","21FLCEN_WQX",1.9,7.8,1.9,7.8,1.9,1.9,0.39,3.9,0.78,7.8,3.9,2.75,0.78,2.5,0.78,1.1,0.78,0.78,1.9,0.39,4.5,0.39,5.6,1.9,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","21FLCEN_WQX-G4CE0262","27.905589087","-81.3718824","2024-12-18","21FLCEN_WQX",1.8,7.4,1.8,15,1.8,1.8,0.37,3.7,0.74,7.4,3.7,2.6,0.74,2.5,0.74,0.88,0.74,0.74,1.8,0.37,3.4,0.37,5.3,1.8,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","21FLCEN_WQX-G4CE0262","27.905589087","-81.3718824","2025-02-18","21FLCEN_WQX",2,8,2,8,2,2,0.4,4,0.8,8,4,2,0.8,2,0.8,0.87,0.8,0.8,2,0.4,2.4,0.4,3.3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","21FLCEN_WQX-G4CE0262","27.905589087","-81.3718824","2025-04-17","21FLCEN_WQX",2,8.2,2,8.2,2,2,0.41,4.1,0.82,8.2,4.1,3.6,0.82,3.9,0.82,0.92,0.82,0.82,2,0.41,5,0.41,7.2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","21FLCEN_WQX-G4CE0262","27.905589087","-81.3718824","2025-06-18","21FLCEN_WQX",2,8.1,2,8.1,2,2,0.4,4,0.81,8.1,4,3,0.81,2.8,0.81,1.1,0.81,0.81,2,0.4,5.2,0.4,5.6,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","21NYDECA_WQX-10295","44.33060028","-74.08088221","2023-06-27","21NYDECA_WQX",0,0,0,0,0,0,0,0,0,0,NA,0,0,0.9,0,0,0,0,0,0,1,0,0,0.49,0,0,0,0,0,0,NA,NA,NA,NA
"33","21NYDECA_WQX-1050","42.563225","-77.510048","2022-08-31","21NYDECA_WQX",0,0,0,0,0,0,0,0,0,0,0,0,0,0.399,0,0.183,0,0,0,0,0.429,NA,0.358,0,0,0,0,0,0,NA,NA,NA,NA,NA
"34","21NYDECA_WQX-10552","44.89464","-73.804081","2023-08-08","21NYDECA_WQX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96,0.83,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"35","21NYDECA_WQX-10563","44.87812869","-73.42273853","2023-06-27","21NYDECA_WQX",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.9,0,2.9,0,2.7,0.57,0,0,0,0,0,2,NA,NA,NA,NA
"36","21NYDECA_WQX-1059","42.122616","-76.811108","2022-08-31","21NYDECA_WQX",0,0,0,0,0,0,0,0,0,0,0,0,0,0.284,0,0.604,0,0,0,0,1.01,NA,0.572,0,0,0,0,0,0,0.519,NA,NA,NA,NA
"37","21NYDECA_WQX-10996","44.30805724","-74.38104881","2023-08-10","21NYDECA_WQX",0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,2.1,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA
"38","21NYDECA_WQX-11006","44.52397058","-74.1007924","2023-08-09","21NYDECA_WQX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"39","21NYDECA_WQX-11017","44.345885","-74.148192","2023-08-08","21NYDECA_WQX",0,0,0,0,0,0,0,0,0,0,0,0,0,0.91,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA
"40","21NYDECA_WQX-11021","44.47170412","-73.90154443","2023-09-19","21NYDECA_WQX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,NA,NA,NA
"41","21NYDECA_WQX-1143","42.37722","-75.405","2019-10-23","21NYDECA_WQX",NA,NA,NA,0,0,NA,NA,NA,0,NA,0,0,NA,0,0,0,NA,NA,0,NA,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA
"42","21NYDECA_WQX-1143","42.37722","-75.405","2021-04-14","21NYDECA_WQX",NA,NA,NA,0,0,NA,NA,NA,0,NA,0,0,NA,0,0,0,NA,NA,0,NA,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA
"43","21NYDECA_WQX-1143","42.37722","-75.405","2021-08-17","21NYDECA_WQX",NA,NA,NA,0,0,NA,NA,NA,0,NA,0,0,NA,0,0,0,NA,NA,0,NA,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA
"44","21NYDECA_WQX-1170","42.355513","-77.136042","2022-08-31","21NYDECA_WQX",0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.289,0.685,0,0,0,0,0,0,0,0.207,NA,NA,NA,NA
"45","21NYDECA_WQX-1172","42.291184","-77.065257","2022-08-30","21NYDECA_WQX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172,0,0,0,0,0.179,0.301,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"46","21NYDECA_WQX-11784","43.894192","-75.060537","2022-09-26","21NYDECA_WQX",0,0,0,7.87,0.657,0,0,0,0,0,0,0,0,0.769,0.124,3.71,0,0,0.336,0,NA,0,0.493,0,0,0,0,0,0,0.948,NA,NA,NA,NA
"47","21NYDECA_WQX-11788","43.78552278","-74.84642052","2022-09-27","21NYDECA_WQX",0,0,0,0.928,0,0,0,0,0,0,0.234,0,0,0.372,0.128,0.376,0,0,0.243,0,0.4,0.254,0.324,0,0,0,0,0,0,NA,NA,NA,NA,NA
"48","21NYDECA_WQX-1182","42.16833","-76.81889","2022-09-01","21NYDECA_WQX",0,0,0,0,0,0,0,0,0,0,0,0,0,0.396,0,0.26,0,0,0.158,0,0.56,NA,0.478,0,0,0,0,0,0,NA,NA,NA,NA,NA
"49","21NYDECA_WQX-11931","43.5911293","-75.11883545","2022-09-27","21NYDECA_WQX",0,0,0,0,0,0,0,0,0,0,0.194,0,0,0.69,0,NA,0,0,0.4,0,0.868,0.292,0.558,0,0,0,0,0,0,0.684,NA,NA,NA,NA
"50","21NYDECA_WQX-12086","43.94972","-75.162041","2022-09-26","21NYDECA_WQX",0,0,0,0,0,0,0,0,0,0,0,0,0,0.686,0,0.182,0,0,0.393,0,0.653,0.432,0.62,0,0,0,0,0,0,0.454,NA,NA,NA,NA
"51","21NYDECA_WQX-1209","42.24891","-77.45244","2022-08-31","21NYDECA_WQX",0,0,0,5.2,0.656,0,0,0,0,0,0,0,0,0.317,0,0.544,0,0,0.232,0,0.745,0.271,1.22,0,0,0,0,0,0,0.982,NA,NA,NA,NA
"52","21NYDECA_WQX-1219","42.199","-77.407","2022-08-31","21NYDECA_WQX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171,0,0,0,0,0.245,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"53","21NYDECA_WQX-1225","42.019592","-77.128563","2022-08-30","21NYDECA_WQX",0,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0,0.369,0,0,0.24,0,0.625,0,0.733,0,0,0,0,0,0,0.678,NA,NA,NA,NA
"54","21NYDECA_WQX-1249","42.080158","-77.364734","2022-09-01","21NYDECA_WQX",0,0,0,1.19,0,0,0,0,0,0,0,0,0,0.37,0,0.319,0,0,0.151,0,0.87,0.414,0.518,0,0,0,0,0,0,0.597,NA,NA,NA,NA
"55","21NYDECA_WQX-1282","42.33567","-77.68267","2021-04-12","21NYDECA_WQX",NA,NA,NA,0,0,NA,NA,NA,0,NA,0,0,NA,0,0,0,NA,NA,0,NA,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA
"56","21NYDECA_WQX-1282","42.33567","-77.68267","2021-08-16","21NYDECA_WQX",NA,NA,NA,0,0,NA,NA,NA,0,NA,0,0,NA,0,0,0,NA,NA,0,NA,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA
"57","21NYDECA_WQX-1295","42.00278","-76.63499","2021-04-13","21NYDECA_WQX",NA,NA,NA,0,0,NA,NA,NA,0,NA,0,0,NA,0,0,0,NA,NA,0,NA,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA
"58","21NYDECA_WQX-1295","42.00278","-76.63499","2021-08-16","21NYDECA_WQX",NA,NA,NA,0,0,NA,NA,NA,0,NA,0,0,NA,0,0,0,NA,NA,0,NA,0,0,2.2,0,0,NA,NA,NA,NA,1.7,NA,NA,NA,NA
"59","21NYDECA_WQX-1297","42.16751","-77.10477","2022-08-30","21NYDECA_WQX",0,0,0,10.4,0,0,0,0,0,0,0,0,0,0.722,0,1.11,0,0,0.2,0,1.01,NA,3.03,0,0,0,0,0,0,3.29,NA,NA,NA,NA
"60","21NYDECA_WQX-1303","42.411703","-77.426762","2022-08-31","21NYDECA_WQX",0,0,0,0,0,0,0,0,0,0,0,0,0,0.216,0,0.156,0,0,0,0,0.375,0.432,0,0,0,0,0,0,0,0.276,NA,NA,NA,NA
"61","21NYDECA_WQX-1308","42.49526","-77.50321","2022-08-31","21NYDECA_WQX",0,0,0,0,0,0,0,0,0,0,0,0,0,0.399,0,0.238,0,0,0.3,0,0.58,NA,0.306,0,0,0,0,0,0,NA,NA,NA,NA,NA
"62","21NYDECA_WQX-13590","42.1392649","-76.32957546","2023-08-30","21NYDECA_WQX",0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,1.7,2.6,1.1,0,0,0,0,0,0,NA,NA,NA,NA,NA
"63","21NYDECA_WQX-1363","42.09097","-76.055787","2021-04-14","21NYDECA_WQX",NA,NA,NA,0,0,NA,NA,NA,0,NA,0,0,NA,0,0,0,NA,NA,0,NA,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA
"64","21NYDECA_WQX-1363","42.09097","-76.055787","2021-08-18","21NYDECA_WQX",NA,NA,NA,0,0,NA,NA,NA,0,NA,0,0,NA,0,0,0,NA,NA,0,NA,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA
"65","21NYDECA_WQX-13727","41.438884","-73.808378","2022-09-13","21NYDECA_WQX",0,0,0,0,0,0,0,0,0,0,0.192,0,0,1.13,0,NA,0,0,0.581,0,3.51,0.326,1.42,0,0,0,0,0,0,1.44,NA,NA,NA,NA
"66","21NYDECA_WQX-13742","41.29072","-74.05407","2022-09-13","21NYDECA_WQX",0,0,0,0,0,0,0,0,0,0,0.224,0,0,0.463,0,NA,0,0,0.229,0,1.14,0.226,0.382,0,0,0,0,0,0,0.429,NA,NA,NA,NA
"67","21NYDECA_WQX-1382","42.59861","-76.15861","2021-04-14","21NYDECA_WQX",NA,NA,NA,0,0,NA,NA,NA,0,NA,0,0,NA,0,0,0,NA,NA,0,NA,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA
"68","21NYDECA_WQX-1382","42.59861","-76.15861","2021-08-18","21NYDECA_WQX",NA,NA,NA,0,0,NA,NA,NA,0,NA,0,0,NA,0,0,0,NA,NA,0,NA,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA
"69","21NYDECA_WQX-139","42.86194","-78.86787","2021-04-13","21NYDECA_WQX",NA,NA,NA,0,0,NA,NA,NA,0,NA,0,0,NA,1.6,0,0,NA,NA,0,NA,2.2,0,2.3,0,0,NA,NA,NA,NA,2.1,NA,NA,NA,NA
"70","21NYDECA_WQX-139","42.86194","-78.86787","2021-08-17","21NYDECA_WQX",NA,NA,NA,0,0,NA,NA,NA,0,NA,0,0,NA,0,0,0,NA,NA,0,NA,2,0,3.7,0,0,NA,NA,NA,NA,2.8,NA,NA,NA,NA
"71","21NYDECA_WQX-14932","41.38505351","-73.74853003","2022-09-13","21NYDECA_WQX",0,0,0,0,0,0,0,0,0,0,0.291,0,0,1.79,0,0.844,0,0,0.543,0,4.83,0,2.74,0,0,0,0,0,0,3,NA,NA,NA,NA
"72","21NYDECA_WQX-15148","41.33106023","-73.9936069","2022-09-13","21NYDECA_WQX",0,0,0,0,0,0,0,0,0,0,0,0,0,1.05,0,0.931,0,0,0.369,0,2.16,0.336,0.979,0,0,0,0,0,0,0.961,NA,NA,NA,NA
"73","21NYDECA_WQX-15437","42.72036","-73.43064","2022-08-30","21NYDECA_WQX",0,0,0,0,0,0,0,0,0,0,0,0,0,0.682,0,0.233,0,0,0.379,0,1.54,0,0.492,0,0,0,0,0,0,NA,NA,NA,NA,NA
"74","21NYDECA_WQX-15610","42.697202","-73.739952","2022-08-31","21NYDECA_WQX",0,0,0,0,0,0,0,0,0,0,0.24,0,0,1.99,0,1.92,0,0,0.486,0,4.11,0.171,2.58,0,0,0,0,0,0,3.01,NA,NA,NA,NA
"75","21NYDECA_WQX-15688","41.46559","-73.66397","2022-09-12","21NYDECA_WQX",0,0,0,0,0,0,0,0,0,0,0.221,0,0,1.74,0,0.848,0,0,0.784,0,4.77,NA,2.86,0,0,0,0,0,0,2.9,NA,NA,NA,NA
"76","21NYDECA_WQX-15786","42.63420703","-73.56111065","2022-08-29","21NYDECA_WQX",0,0,0,0,0,0,0,0,0,0,0.344,0,0,2.49,0.136,0.941,0,0,1.15,0,5.66,3.76,3.39,0,0,0,0,0,0,3.62,NA,NA,NA,NA
"77","21NYDECA_WQX-16031","44.37827747","-74.26372611","2023-06-28","21NYDECA_WQX",0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0.9,0,1.6,0,0.74,0,0,0,0,0,0,0.63,NA,NA,NA,NA
"78","21NYDECA_WQX-16035","44.34623877","-74.30017073","2023-06-28","21NYDECA_WQX",0,0,0,0,0,0,0,0.43,0,0,0,0,0,1.6,0,0,0,0,1.1,0,2.2,0,0.88,0,0,0,0,0,0,0.69,NA,NA,NA,NA
"79","21NYDECA_WQX-16216","43.70083","-73.9825","2021-04-13","21NYDECA_WQX",NA,NA,NA,0,0,NA,NA,NA,0,NA,0,0,NA,0,0,0,NA,NA,0,NA,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA
"80","21NYDECA_WQX-16216","43.70083","-73.9825","2021-08-17","21NYDECA_WQX",NA,NA,NA,0,0,NA,NA,NA,0,NA,0,0,NA,0,0,0,NA,NA,0,NA,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA
"81","21NYDECA_WQX-16487","44.42783199","-73.49838188","2023-06-29","21NYDECA_WQX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46,0,0,0,0,0,0,NA,NA,NA,NA
"82","21NYDECA_WQX-16489","44.13986889","-73.7475662","2023-08-10","21NYDECA_WQX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"83","21NYDECA_WQX-16613","44.6176516","-73.60865209","2023-06-28","21NYDECA_WQX",0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,2.4,0,0.76,0.46,0,0,0,0,0,0.64,NA,NA,NA,NA
"84","21NYDECA_WQX-1672","43.05778","-76.16345","2021-04-21","21NYDECA_WQX",NA,NA,NA,0,0,NA,NA,NA,0,NA,0,0,NA,0,0,0,NA,NA,0,NA,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA
"85","21NYDECA_WQX-1672","43.05778","-76.16345","2021-08-16","21NYDECA_WQX",NA,NA,NA,0,0,NA,NA,NA,0,NA,0,0,NA,0,0,0,NA,NA,0,NA,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA
"86","21NYDECA_WQX-1681","43.39806","-76.47166","2021-04-12","21NYDECA_WQX",NA,NA,NA,0,0,NA,NA,NA,0,NA,0,0,NA,0,0,0,NA,NA,0,NA,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA
"87","21NYDECA_WQX-1681","43.39806","-76.47166","2021-08-17","21NYDECA_WQX",NA,NA,NA,0,0,NA,NA,NA,0,NA,0,0,NA,0,0,0,NA,NA,0,NA,0,0,1.7,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA
"88","21NYDECA_WQX-16915","44.07736909","-73.87298023","2023-08-09","21NYDECA_WQX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"89","21NYDECA_WQX-17213","43.34920502","-73.72734833","2023-09-21","21NYDECA_WQX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"90","21NYDECA_WQX-17350","43.51460855","-73.2804545","2023-09-20","21NYDECA_WQX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,NA,0,0,0,0,0,NA,NA,NA,NA,NA
"91","21NYDECA_WQX-17370","44.1301713","-73.50966625","2023-09-20","21NYDECA_WQX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,NA,NA,NA
"92","21NYDECA_WQX-17490","43.42376421","-73.25663686","2023-09-19","21NYDECA_WQX",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.8,0,1.6,0,0,0,0,0,0,0.83,NA,NA,NA,NA
"93","21NYDECA_WQX-1772","42.68037","-76.95395","2021-04-12","21NYDECA_WQX",NA,NA,NA,0,0,NA,NA,NA,0,NA,0,0,NA,0,0,0,NA,NA,0,NA,0,0,2.2,0,0,NA,NA,NA,NA,2,NA,NA,NA,NA
"94","21NYDECA_WQX-1772","42.68037","-76.95395","2021-08-30","21NYDECA_WQX",NA,NA,NA,0,0,NA,NA,NA,0,NA,0,0,NA,0,0,0,NA,NA,0,NA,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA
"95","21NYDECA_WQX-1868","43.67611","-74.70834","2022-09-14","21NYDECA_WQX",0,0,0,0,0,0,0,0,0,0,0,0,0,0.799,0,0.221,0,0,0.413,0,0.685,0.213,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
